GPUName,DeviceID
GeForce 820M,"PCI\VEN_10DE&DEV_1140&SUBSYS_08211025
PCI\VEN_10DE&DEV_1140&SUBSYS_083E1025
PCI\VEN_10DE&DEV_1140&SUBSYS_08531025
PCI\VEN_10DE&DEV_1140&SUBSYS_08541025
PCI\VEN_10DE&DEV_1140&SUBSYS_08551025
PCI\VEN_10DE&DEV_1140&SUBSYS_08561025
PCI\VEN_10DE&DEV_1140&SUBSYS_08571025
PCI\VEN_10DE&DEV_1140&SUBSYS_08581025
PCI\VEN_10DE&DEV_1140&SUBSYS_08631025
PCI\VEN_10DE&DEV_1140&SUBSYS_08681025
PCI\VEN_10DE&DEV_1140&SUBSYS_08731025
PCI\VEN_10DE&DEV_1140&SUBSYS_08781025
PCI\VEN_10DE&DEV_1140&SUBSYS_087B1025
PCI\VEN_10DE&DEV_1140&SUBSYS_087F1025
PCI\VEN_10DE&DEV_1140&SUBSYS_08811025
PCI\VEN_10DE&DEV_1140&SUBSYS_08851025
PCI\VEN_10DE&DEV_1140&SUBSYS_088A1025
PCI\VEN_10DE&DEV_1140&SUBSYS_089B1025
PCI\VEN_10DE&DEV_1140&SUBSYS_09211025
PCI\VEN_10DE&DEV_1140&SUBSYS_092F1025
PCI\VEN_10DE&DEV_1140&SUBSYS_09321025
PCI\VEN_10DE&DEV_1140&SUBSYS_093A1025
PCI\VEN_10DE&DEV_1140&SUBSYS_093C1025
PCI\VEN_10DE&DEV_1140&SUBSYS_093F1025
PCI\VEN_10DE&DEV_1140&SUBSYS_09411025
PCI\VEN_10DE&DEV_1140&SUBSYS_09451025
PCI\VEN_10DE&DEV_1140&SUBSYS_09541025
PCI\VEN_10DE&DEV_1140&SUBSYS_09651025"
GeForce 825M,"PCI\VEN_10DE&DEV_1296&SUBSYS_21091B0A
PCI\VEN_10DE&DEV_1296&SUBSYS_22221B0A
PCI\VEN_10DE&DEV_1296&SUBSYS_C737144D"
GeForce 8300,PCI\VEN_10DE&DEV_0848
GeForce 8300 GS,"PCI\VEN_10DE&DEV_0406
PCI\VEN_10DE&DEV_0423"
GeForce 830A,PCI\VEN_10DE&DEV_1340&SUBSYS_2B2B103C
GeForce 830M,"PCI\VEN_10DE&DEV_1340&SUBSYS_02142014
PCI\VEN_10DE&DEV_1340&SUBSYS_062B1028
PCI\VEN_10DE&DEV_1340&SUBSYS_062C1028
PCI\VEN_10DE&DEV_1340&SUBSYS_06311028
PCI\VEN_10DE&DEV_1340&SUBSYS_06321028
PCI\VEN_10DE&DEV_1340&SUBSYS_06451028
PCI\VEN_10DE&DEV_1340&SUBSYS_06461028
PCI\VEN_10DE&DEV_1340&SUBSYS_069A1028
PCI\VEN_10DE&DEV_1340&SUBSYS_22451B0A
PCI\VEN_10DE&DEV_1340&SUBSYS_22491B0A
PCI\VEN_10DE&DEV_1340&SUBSYS_22501B0A
PCI\VEN_10DE&DEV_1340&SUBSYS_22531B0A
PCI\VEN_10DE&DEV_1340&SUBSYS_2280103C
PCI\VEN_10DE&DEV_1340&SUBSYS_2281103C
PCI\VEN_10DE&DEV_1340&SUBSYS_2282103C
PCI\VEN_10DE&DEV_1340&SUBSYS_2295103C
PCI\VEN_10DE&DEV_1340&SUBSYS_2296103C
PCI\VEN_10DE&DEV_1340&SUBSYS_2297103C
PCI\VEN_10DE&DEV_1340&SUBSYS_2339103C
PCI\VEN_10DE&DEV_1340&SUBSYS_233A103C
PCI\VEN_10DE&DEV_1340&SUBSYS_233B103C
PCI\VEN_10DE&DEV_1340&SUBSYS_90D81B0A
PCI\VEN_10DE&DEV_1340&SUBSYS_90DD1B0A"
GeForce 8400,"PCI\VEN_10DE&DEV_06E2
PCI\VEN_10DE&DEV_06E2&SUBSYS_34671458
PCI\VEN_10DE&DEV_06E2&SUBSYS_34781458
PCI\VEN_10DE&DEV_06E2&SUBSYS_37761642"
GeForce 8400 GS,"PCI\VEN_10DE&DEV_0404
PCI\VEN_10DE&DEV_0422
PCI\VEN_10DE&DEV_0424
PCI\VEN_10DE&DEV_06E4
PCI\VEN_10DE&DEV_10C3"
GeForce 8400 SE,"PCI\VEN_10DE&DEV_0420
PCI\VEN_10DE&DEV_06E3"
GeForce 8400M G,"PCI\VEN_10DE&DEV_0428
PCI\VEN_10DE&DEV_0428&SUBSYS_011D1025
PCI\VEN_10DE&DEV_0428&SUBSYS_011E1025"
